WikidataIds,Wrid,RE-WikiRE-Relation,Nrid,RE-NYT-Relation,Wgrid,RE-WebNLG-Relation,Frid,RE-FewRel-Relation,Srid,RE-SemEval-Relation,Grid,RE-Google-Relation,freebase,owl:equivalentProperty
,5087,,4087,,3087,awards,2087,,1087,,88,,,
,5088,,4088,,3088,higher,2088,,1088,,89,,,
,5089,,4089,,3089,senators,2089,,1089,,90,,,
,5090,,4090,,3090,bird,2090,,1090,,91,,,
,5091,,4091,,3091,backup_pilot,2091,,1091,,92,,,
,5092,,4092,,3092,representative,2092,,1092,,93,,,
,5093,,4093,,3093,crewMembers,2093,,1093,,94,,,
,5094,,4094,,3094,alternativeNames,2094,,1094,,95,,,alternativeName
,5095,,4095,,3095,compete_in,2095,,1095,,96,,,
P1416,5096,affiliation,4096,,3096,affiliation,2096,,1096,,97,,,affiliations
,5097,,4097,,3097,president,2097,,1097,,98,,,
,5098,,4098,,3098,affiliations,2098,,1098,,99,,,affiliation
,5099,,4099,,3099,partsType,2099,,1099,,100,,,
P822,5100,mascot,4100,,3100,mascot,2100,,1100,,101,,,
,5101,,4101,,3101,part,2101,,1101,,102,,,
,5102,,4102,,3102,served_as_Chief_of_the_Astronaut_Office_in,2102,,1102,,103,,,
P178,5103,developer,4103,,3103,developer,2103,developer,1103,,104,,,
,5104,,4104,,3104,inaugurationDate,2104,,1104,,105,,,
,5105,,4105,,3105,chancellor,2105,,1105,,106,,,
,5106,,4106,,3106,placeOfDeath,2106,,1106,,107,,,deathPlace
,5107,,4107,,3107,established,2107,,1107,,108,,,
,5108,,4108,,3108,category,2108,,1108,,109,,,
,5109,,4109,,3109,municipality,2109,,1109,,110,,,
,5110,,4110,,3110,district,2110,,1110,,111,,,
,5111,,4111,,3111,nearestCity,2111,,1111,,112,,,
,5112,,4112,,3112,owningOrganisation,2112,,1112,,113,,,
,5113,,4113,,3113,has_to_its_north,2113,,1113,,114,,,
,5114,,4114,,3114,has_to_its_southeast,2114,,1114,,115,,,
,5115,,4115,,3115,has_to_its_southwest,2115,,1115,,116,,,
,5116,,4116,,3116,designer,2116,,1116,,117,,,
,5117,,4117,,3117,material,2117,,1117,,118,,,
,5118,,4118,,3118,dedicatedTo,2118,,1118,,119,,,
,5119,,4119,,3119,nativeName,2119,,1119,,120,,,
,5120,,4120,,3120,languages,2120,,1120,,121,,,language
,5121,,4121,,3121,ethnicGroups,2121,,1121,,122,,,
,5122,,4122,,3122,largestCity,2122,,1122,,123,,,
,5123,,4123,,3123,leader,2123,,1123,,124,,,leaderName
,5124,,4124,,3124,nickname,2124,,1124,,125,,,
,5125,,4125,,3125,rector,2125,,1125,,126,,,
,5126,,4126,,3126,city,2126,,1126,,127,,,
,5127,,4127,,3127,academicStaffSize,2127,,1127,,128,,,
,5128,,4128,,3128,has_to_its_northwest,2128,,1128,,129,,,
,5129,,4129,,3129,river,2129,,1129,,130,,,
,5130,,4130,,3130,numberOfStudents,2130,,1130,,131,,,
,5131,,4131,,3131,dean,2131,,1131,,132,,,
,5132,,4132,,3132,legislature,2132,,1132,,133,,,
,5133,,4133,,3133,neighboringMunicipality,2133,,1133,,134,,,
P85,5134,anthem,4134,,3134,anthem,2134,,1134,,135,,,
,5135,,4135,,3135,campus,2135,,1135,,136,,,
,5136,,4136,,3136,numberOfPostgraduateStudents,2136,,1136,,137,,,
P57,5137,director,4137,,3137,director,2137,director,1137,,138,,,
,5138,,4138,,3138,motto,2138,,1138,,139,,,
,5139,,4139,,3139,was_given_the_Technical_Campus_status_by,2139,,1139,,140,,,
,5140,,4140,,3140,has_to_its_northeast,2140,,1140,,141,,,
,5141,,4141,,3141,has_to_its_west,2141,,1141,,142,,,
,5142,,4142,,3142,sportsOffered,2142,,1142,,143,,,
,5143,,4143,,3143,sportsGoverningBody,2143,,1143,,144,,,
,5144,,4144,,3144,headquarters,2144,,1144,,145,,,
,5145,,4145,,3145,patronSaint,2145,,1145,,146,,,
,5146,,4146,,3146,governmentType,2146,,1146,,147,,,
,5147,,4147,,3147,foundingDate,2147,,1147,,148,,,
,5148,,4148,,3148,birthName,2148,,1148,,149,,,
,5149,,4149,,3149,title,2149,,1149,,150,,,
,5150,,4150,,3150,was_awarded,2150,,1150,,151,,,
,5151,,4151,,3151,fossil,2151,,1151,,152,,,
,5152,,4152,,3152,fullName,2152,,1152,,153,,,fullname
,5153,,4153,,3153,foundedBy,2153,,1153,,154,,,
,5154,,4154,,3154,locationCity,2154,,1154,,155,,,
,5155,,4155,,3155,product,2155,,1155,,156,,,
,5156,,4156,,3156,lastAired,2156,,1156,,157,,,
,5157,,4157,,3157,starring,2157,,1157,,158,,,
,5158,,4158,,3158,firstAppearanceInFilm,2158,,1158,,159,,,
,5159,,4159,,3159,voice,2159,,1159,,160,,,
,5160,,4160,,3160,distributor,2160,,1160,,161,,,
,5161,,4161,,3161,award,2161,,1161,,162,,,
,5162,,4162,,3162,gemstone,2162,,1162,,163,,,
,5163,,4163,,3163,formerName,2163,,1163,,164,,,
,5164,,4164,,3164,broadcastedBy,2164,,1164,,165,,,
,5165,,4165,,3165,firstAired,2165,,1165,,166,,,
,5166,,4166,,3166,series,2166,,1166,,167,,,
,5167,,4167,,3167,cityServed,2167,,1167,,168,,,
,5168,,4168,,3168,operatingOrganisation,2168,,1168,,169,,,
,5169,,4169,,3169,elevationAboveTheSeaLevel_in_metres,2169,,1169,,170,,,
,5170,,4170,,3170,runwayName,2170,,1170,,171,,,
,5171,,4171,,3171,runwayLength,2171,,1171,,172,,,
,5172,,4172,,3172,ICAO_Location_Identifier,2172,,1172,,173,,,
,5173,,4173,,3173,IATA_Location_Identifier,2173,,1173,,174,,,
,5174,,4174,,3174,transportAircraft,2174,,1174,,175,,,
,5175,,4175,,3175,attackAircraft,2175,,1175,,176,,,
,5176,,4176,,3176,aircraftFighter,2176,,1176,,177,,,
,5177,,4177,,3177,battles,2177,,1177,,178,,,
,5178,,4178,,3178,1st_runway_SurfaceType,2178,,1178,,179,,,
,5179,,4179,,3179,3rd_runway_SurfaceType,2179,,1179,,180,,,
,5180,,4180,,3180,class,2180,,1180,,181,,,
,5181,,4181,,3181,headquarter,2181,,1181,,182,,,
,5182,,4182,,3182,hubAirport,2182,,1182,,183,,,
,5183,,4183,,3183,jurisdiction,2183,,1183,,184,,,
,5184,,4184,,3184,elevationAboveTheSeaLevel_in_feet,2184,,1184,,185,,,
,5185,,4185,,3185,runwaySurfaceType,2185,,1185,,186,,,
,5186,,4186,,3186,aircraftHelicopter,2186,,1186,,187,,,
,5187,,4187,,3187,2nd_runway_SurfaceType,2187,,1187,,188,,,
,5188,,4188,,3188,latinName,2188,,1188,,189,,,
,5189,,4189,,3189,numberOfUndergraduateStudents,2189,,1189,,190,,,
,5190,,4190,,3190,outlookRanking,2190,,1190,,191,,,
,5191,,4191,,3191,officialSchoolColour,2191,,1191,,192,,,
,5192,,4192,,3192,child,2192,,1192,,193,,,child
,5193,,4193,,3193,areaOfWater,2193,,1193,,194,,,
,5194,,4194,,3194,areaTotal,2194,,1194,,195,,,
,5195,,4195,,3195,elevationAboveTheSeaLevel,2195,,1195,,196,,,
,5196,,4196,,3196,populationDensity,2196,,1196,,197,,,
,5197,,4197,,3197,areaCode,2197,,1197,,198,,,
,5198,,4198,,3198,areaOfLand,2198,,1198,,199,,,
,5199,,4199,,3199,UTCOffset,2199,,1199,,200,,,
,5200,,4200,,3200,populationTotal,2200,,1200,,201,,,
,5201,,4201,,3201,chairperson,2201,,1201,,202,,,
,5202,,4202,,3202,countySeat,2202,,1202,,203,,,
,5203,,4203,,3203,related,2203,,1203,,204,,,
,5204,,4204,,3204,similarDish,2204,,1204,,205,,,
,5205,,4205,,3205,manager,2205,,1205,,206,,,
,5206,,4206,,3206,club,2206,,1206,,207,,,
,5207,,4207,,3207,ground,2207,,1207,,208,,,
P118,5208,league,4208,,3208,league,2208,league,1208,,209,,,
,5209,,4209,,3209,champions,2209,,1209,,210,,,
,5210,,4210,,3210,numberOfMembers,2210,,1210,,211,,,
,5211,,4211,,3211,fullname,2211,,1211,,212,,,fullName
,5212,,4212,,3212,season,2212,,1212,,213,,,
,5213,,4213,,3213,placeOfBirth,2213,,1213,,214,,,birthPlace
,5214,,4214,,3214,youthclub,2214,,1214,,215,,,
,5215,,4215,,3215,chairman,2215,,1215,,216,,,
,5216,,4216,,3216,chairmanTitle,2216,,1216,,217,,,
,5217,,4217,,3217,leaderParty,2217,,1217,,218,,,
,5218,,4218,,3218,mayor,2218,,1218,,219,,,
,5219,,4219,,3219,1st_runway_LengthFeet,2219,,1219,,220,,,
,5220,,4220,,3220,3rd_runway_LengthFeet,2220,,1220,,221,,,
,5221,,4221,,3221,locationIdentifier,2221,,1221,,222,,,
,5222,,4222,,3222,1st_runway_LengthMetre,2222,,1222,,223,,,
,5223,,4223,,3223,4th_runway_SurfaceType,2223,,1223,,224,,,
,5224,,4224,,3224,5th_runway_Number,2224,,1224,,225,,,
,5225,,4225,,3225,4th_runway_LengthFeet,2225,,1225,,226,,,
,5226,,4226,,3226,1st_runway_Number,2226,,1226,,227,,,
,5227,,4227,,3227,administrativeArrondissement,2227,,1227,,228,,,
,5228,,4228,,3228,regionServed,2228,,1228,,229,,,
,5229,,4229,,3229,architecture,2229,,1229,,230,,,
,5230,,4230,,3230,creatorOfDish,2230,,1230,,231,,,
,5231,,4231,,3231,ISBN_number,2231,,1231,,232,,,
,5232,,4232,,3232,mediaType,2232,,1232,,233,,,
P50,5233,author,4233,,3233,author,2233,,1233,,234,,,
,5234,,4234,,3234,precededBy,2234,,1234,,235,,,
,5235,,4235,,3235,numberOfPages,2235,,1235,,236,,,
,5236,,4236,,3236,influencedBy,2236,,1236,,237,,,
,5237,,4237,,3237,spokenIn,2237,,1237,,238,,,
,5238,,4238,,3238,ISSN_number,2238,,1238,,239,,,
,5239,,4239,,3239,LCCN_number,2239,,1239,,240,,,
,5240,,4240,,3240,abbreviation,2240,,1240,,241,,,
,5241,,4241,,3241,academicDiscipline,2241,,1241,,242,,,
,5242,,4242,,3242,CODEN_code,2242,,1242,,243,,,
,5243,,4243,,3243,firstPublicationYear,2243,,1243,,244,,,
P123,5244,publisher,4244,,3244,publisher,2244,publisher,1244,,245,,,
,5245,,4245,,3245,parentCompany,2245,,1245,,246,,,
P98,5246,editor,4246,,3246,editor,2246,,1246,,247,,,
,5247,,4247,,3247,impactFactor,2247,,1247,,248,,,
P184,5248,doctoral advisor,4248,,3248,doctoralAdvisor,2248,,1248,,249,,,
P551,5249,residence,4249,,3249,residence,2249,residence,1249,,250,,,
,5250,,4250,,3250,OCLC_number,2250,,1250,,251,,,
,5251,,4251,,3251,LibraryofCongressClassification,2251,,1251,,252,,,
,5252,,4252,,3252,followedBy,2252,,1252,,253,,,
P136,5253,genre,4253,,3253,genre,2253,genre,1253,,254,,,
,5254,,4254,,3254,frequency,2254,,1254,,255,,,
,5255,,4255,,3255,notableWork,2255,,1255,,256,,,
,5256,,4256,,3256,5th_runway_SurfaceType,2256,,1256,,257,,,
,5257,,4257,,3257,chief,2257,,1257,,258,,,
,5258,,4258,,3258,EISSN_number,2258,,1258,,259,,,
,5259,,4259,,3259,literaryGenre,2259,,1259,,260,,,
,5260,,4260,,3260,,2260,,1260,Message-Topic,261,,,
,5261,,4261,,3261,,2261,,1261,Product-Producer,262,,,
,5262,,4262,,3262,,2262,,1262,Instrument-Agency,263,,,
,5263,,4263,,3263,,2263,,1263,Entity-Destination,264,,,
,5264,,4264,,3264,,2264,,1264,Component-Whole,265,,,
,5265,,4265,,3265,,2265,,1265,Member-Collection,266,,,
,5266,,4266,,3266,,2266,,1266,Other,267,,,
,5267,,4267,,3267,,2267,,1267,Entity-Origin,268,,,
,5268,,4268,,3268,,2268,,1268,Content-Container,269,,,
P2094,5269,,4269,,3269,,2269,competition class,1269,,270,,,
P4552,5270,,4270,,3270,,2270,mountain range,1270,,271,,,
P1923,5271,,4271,,3271,,2271,participating team,1271,,272,,,
P527,5272,,4272,,3272,,2272,has part,1272,,273,,,
P156,5273,,4273,,3273,,2273,followed by,1273,,274,,,
P1877,5274,,4274,,3274,,2274,after a work by,1274,,275,,,
P3373,5275,,4275,,3275,,2275,sibling,1275,,276,,,
P710,5276,,4276,,3276,,2276,participant,1276,,277,,,
,5277,,4277,,3277,,2277,,1277,,278,,,
P974,5278,,4278,,3278,,2278,tributary,1278,,279,,,
P3450,5279,,4279,,3279,,2279,sports season of league or competition,1279,,280,,,
P105,5280,,4280,,3280,,2280,taxon rank,1280,,281,,,
P177,5281,crosses,4281,,3281,,2281,crosses,1281,,282,,,
P364,5282,original language of film or TV show,4282,,3282,,2282,original language of film or TV show,1282,,283,,,
P641,5283,sport,4283,,3283,,2283,sport,1283,,284,,,
P59,5284,constellation,4284,,3284,,2284,constellation,1284,,285,,,
P413,5285,position played on team or speciality,4285,,3285,,2285,position played on team or speciality,1285,,286,,,
P206,5286,located in or next to body of water,4286,,3286,,2286,located in or next to body of water,1286,,287,,,
P412,5287,voice type,4287,,3287,,2287,voice type,1287,,288,,,
P155,5288,follows,4288,,3288,,2288,follows,1288,,289,,,
P26,5289,spouse,4289,,3289,spouse,2289,spouse,1289,,290,,,
P410,5290,military rank,4290,,3290,,2290,military rank,1290,,291,,,
P25,5291,mother,4291,,3291,,2291,mother,1291,,292,,,
P463,5292,member of,4292,,3292,,2292,member of,1292,,293,,,
P40,5293,child,4293,,3293,,2293,child,1293,,294,,,
P921,5294,main subject,4294,,3294,,2294,main subject,1294,,295,,,
P931,5295,place served by transport hub,4295,,3295,,2295,place served by transport hub,1295,,296,,,
P150,5296,contains administrative territorial entity,4296,,3296,,2296,contains administrative territorial entity,1296,,297,,,
P6,5297,head of government,4297,,3297,,2297,head of government,1297,,298,,,
P449,5298,original broadcaster,4298,,3298,,2298,original broadcaster,1298,,299,,,
P1435,5299,heritage designation,4299,,3299,,2299,heritage designation,1299,,300,,,
P175,5300,performer,4300,,3300,,2300,performer,1300,,301,,,
P1344,5301,participant in,4301,,3301,,2301,participant in,1301,,302,,,
P39,5302,position held,4302,,3302,,2302,position held,1302,,303,,,
P740,5303,location of formation,4303,,3303,,2303,location of formation,1303,,304,,,
P706,5304,located in or on physical feature,4304,,3304,,2304,located in or on physical feature,1304,,305,,,
P495,5305,country of origin,4305,,3305,,2305,country of origin,1305,,306,,,
P22,5306,father,4306,,3306,,2306,father,1306,,307,,,
P241,5307,military branch,4307,,3307,,2307,military branch,1307,,308,,,
P403,5308,mouth of the watercourse,4308,,3308,,2308,mouth of the watercourse,1308,,309,,,
P1411,5309,nominated for,4309,,3309,,2309,nominated for,1309,,310,,,
P135,5310,movement,4310,,3310,,2310,movement,1310,,311,,,
P991,5311,successful candidate,4311,,3311,,2311,successful candidate,1311,,312,,,
P176,5312,manufacturer,4312,,3312,manufacturer,2312,manufacturer,1312,,313,,,
P31,5313,instance of,4313,,3313,,2313,instance of,1313,,314,,,
P102,5314,member of political party,4314,,3314,,2314,member of political party,1314,,315,,,
P1408,5315,licensed to broadcast to,4315,,3315,,2315,licensed to broadcast to,1315,,316,,,
P159,5316,headquarters location,4316,,3316,,2316,headquarters location,1316,,317,,,
P1303,5317,instrument,4317,,3317,instrument,2317,instrument,1317,,318,,,
P937,5318,work location,4318,,3318,,2318,work location,1318,,319,,,
P355,5319,subsidiary,4319,,3319,subsidiary,2319,subsidiary,1319,,320,,,
P674,5320,characters,4320,,3320,,2320,characters,1320,,321,,,
P466,5321,occupant,4321,,3321,,2321,occupant,1321,,322,,,
P306,5322,operating system,4322,,3322,,2322,operating system,1322,,323,,,
P127,5323,owned by,4323,,3323,,2323,owned by,1323,,324,,,
P400,5324,platform,4324,,3324,,2324,platform,1324,,325,,,
P1346,5325,winner,4325,,3325,,2325,winner,1325,,326,,,
P460,5326,said to be the same as,4326,,3326,,2326,said to be the same as,1326,,327,,,
P86,5327,composer,4327,,3327,,2327,composer,1327,,328,,,
P264,5328,record label,4328,,3328,,2328,record label,1328,,329,,,
P750,5329,distributed by,4329,,3329,,2329,distributed by,1329,,330,,,
P58,5330,screenwriter,4330,,3330,,2330,screenwriter,1330,,331,,,
P101,5331,field of work,4331,,3331,,2331,field of work,1331,,332,,,
P407,5332,language of work or name,4332,,3332,,2332,language of work or name,1332,,333,,,
P1001,5333,applies to jurisdiction,4333,,3333,,2333,applies to jurisdiction,1333,,334,,,
P800,5334,notable work,4334,,3334,,2334,notable work,1334,,335,,,
P131,5335,located in the administrative territorial entity,4335,,3335,,2335,located in the administrative territorial entity,1335,,336,,,
P735,5336,given name,4336,,3336,,2336,,1336,,337,,,
P0,5337,Other,4337,,3337,,2337,,1337,,338,,,
P802,5338,student,4338,,3338,,2338,,1338,,339,,,
P108,5339,employer,4339,,3339,employer,2339,,1339,,340,,,
P47,5340,shares border with,4340,,3340,,2340,,1340,,341,,,
P54,5341,member of sports team,4341,,3341,,2341,,1341,,342,,,
P279,5342,subclass of,4342,,3342,,2342,,1342,,343,,,
P366,5343,use,4343,,3343,,2343,,1343,,344,,,
P571,5344,inception,4344,,3344,,2344,,1344,,345,,,
P161,5345,cast member,4345,,3345,,2345,,1345,,346,,,
P37,5346,official language,4346,,3346,,2346,,1346,,347,,,
P376,5347,located on astronomical body,4347,,3347,,2347,,1347,,348,,,
P1142,5348,political ideology,4348,,3348,,2348,,1348,,349,,,
P748,5349,appointed by,4349,,3349,,2349,,1349,,350,,,
P607,5350,conflict,4350,,3350,,2350,,1350,,351,,,
P2389,5351,organization directed by the office or position,4351,,3351,,2351,,1351,,352,,,
P138,5352,named after,4352,,3352,,2352,,1352,,353,,,
P69,5353,educated at,4353,,3353,,2353,,1353,,354,,,
P530,5354,diplomatic relation,4354,,3354,,2354,,1354,,355,,,
P577,5355,publication date,4355,,3355,,2355,,1355,,356,,,
P1889,5356,different from,4356,,3356,,2356,,1356,,357,,,
P166,5357,award received,4357,,3357,,2357,,1357,,358,,,
P190,5358,twinned administrative body,4358,,3358,,2358,,1358,,359,,,
P840,5359,narrative location,4359,,3359,,2359,,1359,,360,,,
P7,5360,Other,4360,,3360,,2360,,1360,,361,,,
P1412,5361,languages spoken or  written or signed,4361,,3361,,2361,,1361,,362,,,
P726,5362,candidate,4362,,3362,,2362,,1362,,363,,,
P205,5363,basin country,4363,,3363,,2363,,1363,,364,,,
P277,5364,programming language,4364,,3364,,2364,,1364,,365,,,
P2541,5365,operating area,4365,,3365,,2365,,1365,,366,,,
P30,5366,continent,4366,,3366,,2366,,1366,,367,,,
P272,5367,production company,4367,,3367,,2367,,1367,,368,,,
P415,5368,radio format,4368,,3368,,2368,,1368,,369,,,
P186,5369,made from material,4369,,3369,,2369,,1369,,370,,,
P461,5370,opposite of,4370,,3370,,2370,,1370,,371,,,
P179,5371,part of the series,4371,,3371,,2371,,1371,,372,,,
P9,5372,Other,4372,,3372,,2372,,1372,,373,,,
P425,5373,field of this occupation,4373,,3373,,2373,,1373,,374,,,
P81,5374,connecting line,4374,,3374,,2374,,1374,,375,,,
P734,5375,family name,4375,,3375,,2375,,1375,,376,,,
P282,5376,writing system,4376,,3376,,2376,,1376,,377,,,
P2596,5377,culture,4377,,3377,,2377,,1377,,378,,,
P144,5378,based on,4378,,3378,,2378,,1378,,379,,,
P658,5379,tracklist,4379,,3379,,2379,,1379,,380,,,
P451,5380,unmarried partner,4380,,3380,,2380,,1380,,381,,,
P676,5381,lyrics by,4381,,3381,,2381,,1381,,382,,,
P1552,5382,has quality,4382,,3382,,2382,,1382,,383,,,
P97,5383,noble title,4383,,3383,,2383,,1383,,384,,,
P1056,5384,product or material produced,4384,,3384,,2384,,1384,,385,,,
P289,5385,vessel class,4385,,3385,,2385,,1385,,386,,,
P541,5386,office contested,4386,,3386,,2386,,1386,,387,,,
P1589,5387,lowest point,4387,,3387,,2387,,1387,,388,,,
P1365,5388,replaces,4388,,3388,,2388,,1388,,389,,,
P2578,5389,studies,4389,,3389,,2389,,1389,,390,,,
P263,5390,official residence,4390,,3390,,2390,,1390,,391,,,
P119,5391,place of burial,4391,,3391,,2391,,1391,,392,,,
P121,5392,item operated,4392,,3392,,2392,,1392,,393,,,
P162,5393,producer,4393,,3393,,2393,,1393,,394,,,
P197,5394,adjacent station,4394,,3394,,2394,,1394,,395,,,
P1269,5395,facet of,4395,,3395,,2395,,1395,,396,,,
P737,5396,influenced by,4396,,3396,,2396,,1396,,397,,,
P2416,5397,sports discipline competed in,4397,,3397,,2397,,1397,,398,,,
P1057,5398,chromosome,4398,,3398,,2398,,1398,,399,,,
P831,5399,parent club,4399,,3399,,2399,,1399,,400,,,
P945,5400,allegiance,4400,,3400,,2400,,1400,,401,,,
P149,5401,architectural style,4401,,3401,,2401,,1401,,402,,,
P1027,5402,conferred by,4402,,3402,,2402,,1402,,403,,,
P2184,5403,history of topic,4403,,3403,,2403,,1403,,404,,,
P1399,5404,convicted of,4404,,3404,,2404,,1404,,405,,,
P509,5405,cause of death,4405,,3405,,2405,,1405,,406,,,
P941,5406,inspired by,4406,,3406,,2406,,1406,,407,,,
P360,5407,is a list of,4407,,3407,,2407,,1407,,408,,,
P1080,5408,from narrative universe,4408,,3408,,2408,,1408,,409,,,
P61,5409,discoverer or inventor,4409,,3409,discoverer,2409,,1409,,410,,,
P1582,5410,natural product of taxon,4410,,3410,,2410,,1410,,411,,,
P793,5411,significant event,4411,,3411,,2411,,1411,,412,,,
